unitid,form_ic,stat_ic,stat_pte,prch_ic,idx_ic,imp_ic,cyactive,"closedat","instnm","addr","city","stabbr","zip","countynm",cntygeo,fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,refu_ic,src_ic,edit_ic,"date_ic",sector,iclevel,control,affil,hloffer,ugoffer,groffer,fpoffer,hdegoffr,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,locale,"act",newid,deathyr
"372347","1","1","1","-2","-2","-2","1","-2","CENTURA ST ANTHONY SCHOOL OF RADIOLOGIC SCIENCE","1601 LOWELL BLVD","DENVER","CO","80204","DENVER","31","8","7","JOYCE S SNYDER","DIRECTOR SCHOOL OF RAD SCIENCE","3038995267","-1","-1","-1","-3","-2","6","-2","4","2","05251999","5","2","2","4","4","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"372356","3","1","1","-2","-2","-2","1","-2","XENON INTERNATIONAL SCHOOL OF HAIR DESIGN III","2231 S PEORIA","AURORA","CO","80014","ARAPAHOE","5","8","7","GAYLA GARRITY HENRY","DIRECTOR","3037521560","3037521560","3037521560","841076276","612196311","03027400","1","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","7","0","2","9","2","2","2","2","-2","3","A","-2","-2"
"372417","3","3","4","-2","-2","1","1","-2","ROFFLER ACADEMY FOR HAIRSTYLISTS","709 QUEENS ST","SOUTHINGTON","CT","06410","HARTFORD","3","9","1","PAUL SIRAGUSA","PRESIDENT","8605222359","2035222359","2032724333","060995660","-3","02077701","5","-2","-2","-2","-2","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","4","A","-2","-2"
"372462","3","1","1","-2","-2","-2","1","-2","ADVANCED-BASIC HAIR DESIGN TRAINING CENTER","85 RICHLAND AVE","MERRITT ISLAND","FL","32953","BREVARD","9","12","5","JACQUILYN EUSANIO","PRESIDENTS","4074528490","3306521559","4074528490","581708995","138101118","02499000","1","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","17","0","0","2","2","2","2","2","-2","4","A","-2","-2"
"372480","3","1","1","-2","-2","-2","1","-2","CAREER TRAINING INSTITUTE","2463 E SEMORAN BLVD","APOPKA","FL","32703","ORANGE","95","12","5","NANCY M BRADLEY","DIRECTOR","4078841816","4078841816","4078841816","581529483","-3","02245502","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","60","0","2","16","2","2","2","2","-2","4","A","-2","-2"
"372499","3","3","4","-2","-2","1","1","-2","THE CDL SCHOOL","4101 NW 27TH AVE","MIAMI","FL","33142","-1","25","12","5","-1","-1","3056382200","-1","-1","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"372505","1","1","1","-2","-2","-2","1","-2","COOPER CAREER INSTITUTE","2247 PALM BEACH LAKES BLVD STE 110","WEST PALM BEACH","FL","33409","PALM BEACH","99","12","5","JOSEPH D JAAP","PRESIDENT","5616406999","5616406999","5616406999","650032839","179930961","03032700","1","-2","4","2","04261999","6","2","3","2","3","1","2","2","40","27","0","0","1","2","2","2","2","40","2","A","-2","-2"
"372578","1","1","1","-2","-2","-2","1","-2","ITT TECHNICAL INSTITUTE","2600 LAKE LUCIEN DR STE 140","MAITLAND","FL","32751","ORANGE","95","12","5","GARY P COSGROVE","DIRECTOR","4076602900","4076602900","4076602900","362061311","614392751","03087600","1","-2","4","1","01141999","3","1","3","2","5","1","2","2","30","20","0","1","14","2","2","2","2","-2","4","A","-2","-2"
"372587","1","1","1","2","135081","-2","1","-2","KEISER COLLEGE-MELBOURNE","900 S BABCOCK ST","MELBOURNE","FL","32901","BREVARD COUNTY","97","12","5","ARTHUR KEISER","PRESIDENT","4072552255","4072552255","4072552255","591829662","-3","02151901","1","-2","4","1","02171999","6","2","3","2","3","1","2","2","40","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"372611","3","3","4","-2","-2","1","1","-2","MIAMI INSTITUTE OF TECHNOLOGY","1001 SW 1ST ST","MIAMI","FL","33130","DADE","25","12","5","ARLENE BRAVO","ADMIN DIR","3052538295","3052668274","3052678295","-1","824631295","02601900","1","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","0","0","0","99","2","2","2","2","-2","1","A","-2","-2"
"372657","3","3","4","-2","-2","1","1","-2","MTA SCHOOLS","6000 CINDERLANE PKY","ORLANDO","FL","32810","ORANGE","95","12","5","ROBERT F GUM","DIRECTOR","4072997447","-1","-1","232718236","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"372718","3","1","1","-2","-2","-2","1","-2","SUNSTATE ACADEMY OF HAIR DESIGN","18453 US 19 N","CLEARWATER","FL","346242702","PINELLAS","103","12","5","GAYL SIMON","DIRECTOR","7275383827","7275383827","7275383827","592779793","945805349","02524000","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","11","2","2","7","2","2","2","2","-2","3","A","-2","-2"
"372763","1","1","1","-2","-2","-2","1","-2","REFORMED THEOLOGICAL SEMINARY","1231 REFORMATION DR","OVIEDO","FL","327657197","ORANGE","95","12","5","L G WHITLOCK JR","PRESIDENT","4078758388","6019224988","4078758388","640428676","-3","-2","6","-2","4","2","01271999","2","1","2","6","9","2","1","1","11","-3","-3","-3","-3","2","2","2","2","-2","4","A","-2","-2"
"372772","3","1","1","-2","-2","-2","1","-2","RICKEYS BEAUTY CAREERS IN COSMETOLOGY INC","2141-125 LOCH RANE BLVD","ORANGE PARK","FL","32073","CLAY","19","12","5","GARY WAGNER","OWNER DIRECTOR","9042727275","9042727275","9042727275","592855843","018911656","03035800","1","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","15","0","5","3","2","2","2","2","-2","3","A","-2","-2"
"372833","3","1","1","-2","-2","-2","1","-2","ROMAR HAIRSTYLING ACADEMY","686 N WICKHAM RD","BREVARD","FL","32935","ORANGE","95","12","5","JAMES V MANZO JR","PRESIDENT","4072590001","4072590001","4072590001","591946725","024973989","02186400","1","-2","4","1","01291999","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","9","A","-2","-2"
"372921","3","1","1","-2","-2","-2","1","-2","MEDIX SCHOOLS","2108 COBB PARKWAY","SMYRNA","GA","30080","COBB","67","13","5","LARRY H RITCHIE","DIRECTOR","7709800002","7709800002","7709800002","521590170","-3","01031903","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","31","0","0","0","2","2","2","2","-2","3","A","-2","-2"
"372949","3","3","4","-2","-2","1","1","-2","SAMVERLY COLLEGE BARBER-HAIRSTYLING","210 EDGEWOOD AVE","ATLANTA","GA","30303","-1","121","13","5","-1","-1","4045224370","-1","-1","-1","-3","03023600","5","-2","-2","-2","-2","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"367954","1","1","1","-2","-2","-2","1","-2","UNIVERSITY OF ST AUGUSTINE FOR HEALTH SCIENCES","170 MALAGA ST","ST AUGUSTINE","FL","32084","ST JOHNS","109","12","5","STANLEY V PARIS","PRESIDENT","9048260084","8002411027","9048260084","593166042","-3","03171300","5","-2","4","1","01141999","3","1","3","2","8","2","1","2","20","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"367972","1","1","1","-2","-2","-2","1","-2","CAPITAL AREA SCHOOL OF PRACTICAL NURSING","2201 TORONTO RD","SPRINGFIELD","IL","627078645","SANGAMON","167","17","3","JAMIE HAMILTON","COORDINATOR","2175852160","2175852160","2175852160","370983047","067418087","01071000","1","-2","4","1","02211999","7","3","1","1","2","1","2","2","0","6","0","0","2","2","2","2","2","-2","2","A","-2","-2"
"367981","3","1","1","-2","-2","-2","1","-2","HAIR PROFESSIONALS CAREER COLLEGE","10321 S ROBERTS RD","PALOS HILLS","IL","60465","COOK","31","17","3","WANDA S ZACHARY","PRESIDENT","7084301755","7084301755","7084301755","364202227","155171135","02587700","1","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","5","0","0","0","2","2","2","2","-2","3","A","-2","-2"
"367990","3","1","1","-2","-2","-2","1","-2","KANKAKEE ACADEMY OF HAIR DESIGN","100 E 115TH ST","CHICAGO","IL","60628","COOK","31","17","3","JOSEPH CONNELLA","PRESIDENT","7734688666","7735237211","7734688666","363335714","786974956","02563300","1","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","99","0","0","0","2","2","2","2","-2","1","A","-2","-2"
"368009","3","3","4","-2","-2","1","1","-2","PROFESSIONAL TRUCK DRIVER TRAINING SCHOOL INC","12655 S DOTY AVE","CHICAGO","IL","60633","COOK","31","17","3","TERRY W KELSEY","VP/CO-OWNER","3126460066","3126460066","3126460066","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368018","3","3","4","-2","-2","1","1","09011998","SCHARFENBERG BEAUTY ACADEMY INC","1429 S MAIN COLONY S","JACKSONVILLE","IL","62650","MORGAN","137","17","3","V SCHARFENBERG","PRESIDENT","2172431744","2172431744","2172431744","371234716","-3","-2","6","1","-2","-2","-2","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","6","M","-2","-2"
"368036","3","1","1","-2","-2","-2","1","-2","ALEXANDRIA SCHOOL OF SCIENTIFIC THERAPEUTICS","809 S HARRISON ST","ALEXANDRIA","IN","46001","MADISON","95","18","3","HERBERT L HOBBS","ADMINISTRATOR","7657249152","-1","7657249152","351535889","-3","-2","6","-2","4","1","02221999","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"368081","1","3","4","-2","-2","1","1","-2","WORLD EVANGELISM BIBLE COLLEGE AND SEMINARY","8919 WORLD MINISTRY AVE","BATON ROUGE","LA","70810","EAST BATON ROUGE","33","22","5","LARRY D HUNT","PRESIDENT","5047683662","5047683890","5047683662","-1","-3","-2","6","-2","-2","-2","-2","2","1","2","6","7","1","1","2","20","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"368142","3","1","1","-2","-2","-2","1","-2","INTERNATIONAL ACADEMY OF HAIR DESIGN AND TECHN","1500 W PRATT ST","BALTIMORE","MD","21223","BALTIMORE","5","24","2","SIMON V AVARA","PRESIDENT/OWNER","4105662420","4105662420","4105662420","521072383","-3","-2","6","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"368151","3","3","4","-2","-2","1","1","-2","THE CAMBRIDGE SCHOOL OF CULINARY ARTS","2020 MASSACHUSETTS AVE","CAMBRIDGE","MA","02140","MIDDLESEX","17","25","1","ROBERTA A. DOWLING","PRESIDENT/DIRECTOR","6173542020","-1","6173542020","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"368160","1","1","1","-2","-2","-2","1","-2","HANNIBAL AREA VOCATIONAL TECHNICAL SCHOOL","4550 MCMASTERS AVE","HANNIBAL","MO","63401","MARION","127","29","4","HAROLD WARD","DIRECTOR","3142214430","3142214430","3142214430","-1","115893596","02151000","1","-2","4","1","02011999","7","3","1","1","2","1","2","2","0","13","0","0","1","2","2","2","2","-2","6","A","-2","-2"
"368188","3","1","1","-2","-2","-2","1","-2","PATSY AND ROBS ACADEMY OF BEAUTY","11977 ST CHARLES ROCK RD STE 125","BRIDGETON","MO","63044","ST LOUIS","189","29","4","ROBERT E BRUNER","OWNER DIRECTOR","3142988808","3142988804","3142988804","430959123","174568469","02555300","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","96","0","0","0","2","2","2","2","-2","3","A","-2","-2"
"368203","3","1","1","-2","-2","-2","1","-2","CAROLINA BEAUTY COLLEGE 4","NORTH PARK MALL 5430-0 N TRYON ST","CHARLOTTE","NC","28213","MECKELBURG","119","37","5","M SCOTT FIELDS","PRESIDENT","9198864712","9198864712","9198864712","561051037","-3","02286320","1","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","99","0","0","0","2","2","2","2","-2","1","A","-2","-2"
"368230","3","1","1","-2","-2","-2","1","-2","CONCORDE SCHOOL OF HAIR DESIGN-BLOOMFIELD","9-11 WARD ST","BLOOMFIELD","NJ","07003","ESSEX","13","34","2","ANTHONY LA MONICA","DIRECTOR","9736800099","9736800192","9736800099","222328679","-3","02252701","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","95","0","0","4","2","2","2","2","-2","3","A","-2","-2"
"368276","1","1","1","1","368276","-2","1","-2","INTERNATIONAL INSTITUTE OF CHINESE MEDICINE","PO BOX 4991","SANTA FE","NM","87502","SANTA FE","49","35","6","MICHAEL ZENG","DIRECTOR","5054735233","5054735233","5054735233","850324098","182615971","03029300","1","-2","4","1","02051999","2","1","2","3","7","2","1","2","20","6","0","4","5","2","2","2","2","53","2","A","-2","-2"
"368294","3","3","4","-2","-2","1","1","-2","NEW MEXICO ACADEMY OF MASSAGE","PO BOX 932","SANTA FE","NM","875040932","SANTA FE","49","35","6","LORIN PARRISHH","DIRECTOR","5059826271","-1","5059826271","850292817","-3","-2","6","-2","-2","-2","-2","8","3","2","3","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"368328","3","3","4","-2","-2","1","1","-2","NEVADA JEWELRY MANUFACTURING SCHOOL","953 E SAHARA B27","LAS VEGAS","NV","89104","CLARK","3","32","8","EDGARDO MAZZOLA","OWNER","7027354191","-1","7027354191","-1","943913939","03119700","1","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","13","13","0","13","2","2","2","2","-2","1","A","-2","-2"
"368364","1","1","1","-2","-2","-2","1","-2","SOUTHWEST AREA VOCATIONAL TECHNICAL CENTER","711 W TAMARACK","ALTUS","OK","73521","JACKSON","65","40","6","DR JOHN L MARTIN","SUPERINTENDENT","5804772250","5804772250","5804772250","-1","876378852","03008700","1","-2","4","1","05251999","7","3","1","1","2","1","2","2","0","8","3","1","20","2","2","2","2","-2","6","A","-2","-2"
"368407","1","1","1","-2","-2","-2","1","-2","WESTERN AREA CAREER AND TECHNOLOGY CENTER","688 WESTERN AVE","CANONSBURG","PA","15317","WASHINGTON","125","42","2","THOMAS CONNER","CHIEF SCHOOL AMINISTRATOR","7247462890","7247462890","7247462890","251193986","077487809","02350100","1","-2","4","1","02011999","7","3","1","1","2","1","2","2","0","3","0","0","0","2","2","2","2","-2","3","A","-2","-2"
"368416","3","3","3","-2","-2","-2","1","-2","INSTITUTO FOTOGRAFICO Y TECNOLOGICO DE CAROLINA","CALLE CARRERAS 56 ALTOS","HUMACAO","PR","00791","-1","69","72","9","NILDA M RODRIGUEZ","ADMINISTRATIVE DIRECTOR","8097694938","8098501110","8098501110","-1","-3","02593701","1","-2","-2","-2","-2","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","9","A","-2","-2"
"368434","3","1","1","-2","-2","-2","1","11021998","CLIMATE CONTROL INSTITUTE INC","150 COLLINS","MEMPHIS","TN","38112","SHELBY","157","47","5","TIM HAMPTON","DIRECTOR","9017615730","9017615730","9017615730","-1","-3","01316502","5","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","22","0","0","0","2","2","2","2","-2","1","M","-2","-2"
"368443","1","1","1","-2","-2","-2","1","-2","DRAUGHONS JUNIOR COLLEGE","1860 WILMA RUDOLPH BLVD","CLARKSVILLE","TN","37040","MONTGOMERY","125","47","5","JENNIE STRIBLING","DIRECTOR","9315527600","9315527600","9315527600","-1","-3","00493401","1","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","31","0","0","1","2","2","2","2","-2","2","A","-2","-2"
"368452","1","1","1","-2","-2","-2","1","-2","NOSSI COLLEGE OF ART","907 TWO MILE PKY BLDG E6","GOODLETTSVILLE","TN","37072","DAVIDSON","37","47","5","NOSSI VATANDOOST","DIRECTOR","6158511088","6158511088","6158511088","621286367","120601091","02578200","1","-2","4","1","02011999","6","2","3","2","3","1","2","2","40","14","1","1","1","2","2","2","2","-2","3","A","-2","-2"
"368489","3","3","4","-2","-2","1","1","-2","ULTRA PRECISE BEAUTY COLLEGE","13318 ALMEDA RD","HOUSTON","TX","77045","HARRIS","201","48","6","DEBORAH HOWELL","PRESIDENT","7134348015","7136992561","7136992561","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","2","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368504","3","1","1","-2","-2","-2","1","-2","ELECTRICAL TRAINING CENTER","108 COVERN","HOUSTON","TX","770612006","HARRIS","201","48","6","DEE W POWELL","DIRECTOR","7136492739","-1","7136492739","-1","-3","-2","6","-2","4","1","01121999","8","3","2","3","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368540","3","1","1","-2","-2","-2","1","-2","SEGUIN BEAUTY SCHOOL","214 W SAN ANTONIO","NEW BRAUNFELS","TX","78130","COMAL","91","48","6","JOSEPH P EVANS","ADMINISTRATOR","-1","8303720935","-1","-1","-3","02521801","1","-2","4","1","02081999","9","3","3","2","2","1","2","2","0","0","0","0","17","2","2","2","2","-2","2","A","-2","-2"
"368568","1","3","4","-2","-2","1","1","-2","TEXAS BIBLE COLLEGE","816 EVERGREEN","HOUSTON","TX","77023","HARRIS","201","48","6","J R ENSEY","PRESIDENT","7139268808","7139268808","7139268808","-1","-3","-2","6","-2","-2","-2","-2","5","2","2","6","4","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368577","3","1","1","-2","-2","-2","1","-2","TEXAS SECURITY OFFICERS INSTITUTE","6906 ATWELL STE 209","HOUSTON","TX","77081","HARRIS","201","48","6","W W CROWDER","DIRECTOR","7136613014","-1","-1","742175402","-3","-2","6","-2","4","1","05251999","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368601","1","1","1","-2","-2","-2","1","-2","ITT TECHNICAL INSTITUTE","863 GLENROCK RD STE 100","NORFOLK","VA","235023701","-1","710","51","5","JEFFREY ABRAMS","DIRECTOR","7574661260","7574661260","7574661260","362061311","-3","00732701","1","-2","4","1","02211999","6","2","3","2","3","1","2","2","40","42","0","4","4","2","2","2","2","-2","1","A","-2","-2"
"368629","1","1","1","-2","-2","-2","1","-2","PIMA MEDICAL INSTITUTE","1627 EASTLAKE AVE E","SEATTLE","WA","98102","KING","33","53","8","DAVE BROWN","DIRECTOR","2063226100","2063226100","2063226100","860260863","-3","02217105","1","-2","4","2","02011999","6","2","3","2","4","1","2","2","40","9","1","14","6","2","2","2","2","-2","1","A","-2","-2"
"368647","1","1","1","-2","-2","-2","1","-2","MINERAL COUNTY VOCATIONAL TECHNICAL CENTER","HARLEY O STAGGERS SR DR STE 600","KEYSER","WV","26726","MINERAL","57","54","5","ALAN P WHETZEL","DIRECTOR","3047884240","3047884240","3047884240","-1","193080751","01014000","1","-2","4","2","02091999","7","3","1","1","2","1","2","2","0","-1","-1","-1","-1","2","2","2","2","-2","4","A","-2","-2"
"368656","3","1","1","-2","-2","-2","1","-2","UNIVERSAL COMPUTING INSTITUTE INC","18341 SHERMAN WAY STE 210","RESEDA","CA","91335","LOS ANGELES","37","6","8","CHAVA RISCHONI","PRESIDENT","8187743800","8187743800","8187743800","954052680","781520093","03053500","1","-2","4","1","01111999","9","3","3","2","1","1","2","2","0","27","0","18","18","2","2","2","2","-2","1","A","-2","-2"
"368665","3","3","4","-2","-2","1","1","-2","WESTERN TRUCK SCHOOL","3201 E BROADWAY","PHOENIX","AZ","85006","MARICOPA","13","4","6","EVERETT G NORD","PRESIDENT","6024375303","6024375303","6024375303","942545040","-3","-2","6","1","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368674","3","3","4","-2","-2","1","1","-2","WESTERN TRUCK SCHOOL","6996 MISSION GORGE RD","SAN DIEGO","CA","92120","SAN DIEGO","73","6","8","EVERETT G NORD","CHIEF EXECUTIVE OFFICER","8009550955","8009550955","8009550955","942545040","-3","-2","6","1","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368683","3","3","4","-2","-2","1","1","-2","WESTERN TRUCK SCHOOL","5800 STATE RD","BAKERSFIELD","CA","93308","KERN","29","6","8","EVERETT G NORD","PRESIDENT","8053990701","8053990701","8053990701","-1","-3","02288604","5","1","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"368692","3","3","4","-2","-2","1","1","-2","WESTERN TRUCK SCHOOL","3101 WHIPPLE RD STE 24","UNION CITY","CA","94587","ALAMEDA","1","6","8","EVERETT G NORD","PRESIDENT","4154301120","4154301120","4154301120","942545040","-3","-2","6","1","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"368708","3","3","4","-2","-2","1","1","-2","WESTERN TRUCK SCHOOL","85 N EDISON WAY STE 2-3","RENO","NV","89502","WASHOE CTY","31","32","8","EVERETT NORD","CEO","8009291314","-1","7023314441","942545040","-3","02586501","5","1","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"368735","3","1","1","-2","-2","-2","1","-2","DMC AUTOMOTIVE TRAINING SCHOOL","530 CAMERON","PLACENTIA","CA","92870","ORANGE","59","6","8","DOMINICK VIGNA","PRESIDENT","7145288336","7145288336","7145288336","330450565","618734487","03019600","1","-2","4","1","02091999","9","3","3","2","1","1","2","2","0","14","0","14","48","2","2","2","2","-2","3","A","-2","-2"
"368771","3","1","1","-2","-2","-2","1","-2","HYPNOSIS MOTIVATION INSTITUTE","18607 VENTURA BLVD STE 310","TARZANA","CA","91356","LOS ANGELES","37","6","8","GEORGE KAPPAS","DIRECTOR","8183444464","8183444464","8183444464","237198104","081113599","02545900","1","-2","4","1","01121999","8","3","2","3","2","1","2","2","0","-1","-1","-1","-1","2","2","2","2","-2","1","A","-2","-2"
"368780","3","1","1","-2","-2","-2","1","-2","LOS ANGELES ORT TECHNICAL INSTITUTE","6435 WILSHIRE BLVD","LOS ANGELES","CA","90048","LOS ANGELES","37","6","8","JOSEPH NEMAN","DIRECTOR","2139665444","2139665444","2139665444","133281910","174768218","02570300","1","-2","4","1","01121999","8","3","2","5","1","1","2","2","0","6","0","23","8","2","2","2","2","-2","1","A","-2","-2"
"368799","1","1","1","-2","-2","-2","1","-2","MARTINEZ ADULT SCHOOL","600 F ST","MARTINEZ","CA","945533298","CONTRA COSTA","13","6","8","MICHAEL A HERR","DIRECTOR","9252283276","9252283330","9252283276","680342645","027027226","03074900","1","-2","4","2","02011999","7","3","1","1","2","1","2","2","0","8","1","7","23","2","2","2","2","-2","3","A","-2","-2"
"368805","1","1","1","-2","-2","-2","1","-2","NOVA INSTITUTE OF HEALTH TECHNOLOGY","3000 S ROBERTSON BLVD","LOS ANGELES","CA","90034","LOS ANGELES","37","6","8","RASHED ELYAS","CEO","3108405777","3108405777","3108405777","954029723","-3","030723A1","2","-2","4","1","01211999","6","2","3","2","3","1","2","2","40","27","0","4","36","2","2","2","2","-2","1","A","-2","-2"
"368823","1","1","1","-2","-2","-2","1","-2","SCHOOL OF APPLIED THEOLOGY","5890 BIRCH CT","OAKLAND","CA","946181626","ALAMEDA","1","6","8","FRANK B NIEMAN","PRESIDENT","4156521651","4156521651","4156521651","-1","-3","-2","6","-2","4","1","04191999","2","1","2","4","7","2","1","2","20","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368832","3","1","1","-2","-2","-2","1","-2","THANH LE COLLEGE SCHOOL OF COSMETOLOGY","12875 CHAPMAN AVE","GARDEN GROVE","CA","92840","ORANGE","59","6","8","THANH LE","OWNER","7149715844","7149715844","7149715844","460519929","145462529","02236400","5","-2","4","1","01111999","9","3","3","2","2","1","2","2","0","0","0","41","57","2","2","2","2","-2","3","A","-2","-2"
"368869","1","1","1","-2","-2","-2","1","-2","WASHINGTON PSYCHOANALYTIC INSTITUTE","4925 MACARTHUR BLVD NW","WASHINGTON","DC","20007","DISTRICT OF COLUMBIA","1","11","2","DAVID L RAPHLING","CHAIRMAN","2023385453","-1","2023385453","-1","-3","-2","6","-2","4","1","01271999","2","1","2","3","8","2","1","2","0","-3","-3","-3","-3","2","2","2","2","-2","1","A","-2","-2"
"368911","1","1","1","-2","-2","-2","1","-2","SOUTHEASTERN TECHNICAL INSTITUTE","3001 E FIRST ST","VIDALIA","GA","30474","TOOMBS","279","13","5","CATHRYN T MEEHAN","PRESIDENT","9125383100","9125370386","9125370386","581865531","608569109","03066500","1","-2","4","1","01211999","4","2","1","1","4","1","2","2","0","26","0","1","1","2","2","2","2","-2","6","A","-2","-2"
"368948","3","3","4","-2","-2","1","1","-2","ILLINOIS ACADEMY OF REAL ESTATE","316 N LAKE ST","AURORA","IL","60506","KANE","89","17","3","MICHAEL FAIR","OWNER","7088440222","7088440222","7088440222","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","2","A","-2","-2"
"368993","3","1","1","-2","-2","-2","1","-2","LEARNING INSTITUTE FOR BEAUTY SCIENCES","384 MAIN ST","MALDEN","MA","02148","-1","17","25","1","SALVATORE PAPPACODA","REGIONAL MANAGER","6173243400","6173243400","6173243400","112140248","061959193","00912900","1","-2","4","1","01121999","9","3","3","2","2","1","2","2","0","23","0","7","11","2","2","2","2","-2","3","A","-2","-2"
"369002","1","1","1","-2","-2","-2","1","-2","MASSACHUSETTS SCHOOL OF LAW","500 FEDERAL ST WOODLAND PARK","ANDOVER","MA","01810","ESSEX","9","25","1","PAULA DICKINSON","CONTROLLER TREASURER","9786810800","9786810800","9786810800","043009002","195391784","03235300","1","-2","4","1","01121999","2","1","2","3","-2","2","2","1","1","-3","-3","-3","-3","2","2","2","2","-2","3","A","-2","-2"
"369020","1","1","1","-2","-2","-2","1","-2","DAHLS COLLEGE OF BEAUTY INC","716 CENTRAL AVE","GREAT FALLS","MT","59401","CASCADE","13","30","7","BEVERLY J BALL","OWNER DIRECTOR","4064543453","4064543453","4064543453","810379977","010362176","00894700","1","-2","4","1","01211999","6","2","3","2","4","1","2","2","0","0","10","3","0","2","2","2","2","-2","2","A","-2","-2"
"369039","3","3","4","-2","-2","1","1","-2","MONTANA NANNIES INC","4812 CHRISTIAN DR","MISSOULA","MT","59803","MISSOULA","101","30","7","CONNIE K BUECHLER","-1","4062517286","-1","4062517286","-1","-3","-2","6","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","6","A","-2","-2"
"369057","3","3","4","-2","-2","1","1","-2","ALLIANCE TRACTOR TRAILER TRAINING CENTER","HWY 25 S","ARDEN","NC","28704","HENDERSON","89","37","5","ROBERT GIBSON","DIRECTOR","7046844454","7046844454","7046844454","561316196","-3","02337100","5","-2","-2","-2","-2","9","3","3","2","1","1","2","2","0","-3","-3","-3","-3","2","2","2","2","-2","9","A","-2","-2"
"369084","1","1","1","-2","-2","-2","1","-2","ITT TECHNICAL INSTITUTE","5100 MASTHEAD NE","ALBUQUERQUE","NM","87109","BERNALILLO","1","35","6","MARIANNE RITTNER","DIRECTOR","5058281114","5058281114","5058281114","850390490","-3","02361101","1","-2","4","1","01121999","3","1","3","2","5","1","2","2","30","3","10","1","36","2","2","2","2","-2","1","A","-2","-2"
