unitid,"instnm","city","stabbr",fips,obereg,fice,rstatus,unitidx,sector,iclevel,control,affil,hloffer,fpoffer,"formrt",resplast,respstat,"addr","zip","countynm",congdist,gentele,"chfnm","chftitle"
"260479","ACCESS INTERNATIONAL BUSINESS AND LANGUAGE INST","ANN ARBOR","MI","26","3","","","","9","3","3","2","1","","3","1","1","609 EAST LIBERTY SUITE 200","48104","WASHTENAW","2","3139941456","MICHAEL MILNE","DIR"
"260488","ADAMS PROFESSIONAL MODELING & FINISHING SCHOOL","HASLETT","MI","26","3","","","","9","3","3","2","1","","3","1","1","1625 HASLETT ROAD","48840","","6","5173399061","C L ADAMS","PRES"
"260503","ADVANCED CENTER FOR TECHNOLOGY TRAINING","FARMINGTON HILLS","MI","26","3","","","","9","3","3","2","1","","3","1","1","31000 NORTHWESTERN HIGHWAY","48334","OAKLAND","18","3137374730","PETER NAGOURNEY","CEO"
"260530","ARRAND PROFESSIONAL MODELING SCHOOL","FLINT","MI","26","3","","","","9","3","3","2","1","","3","1","1","5446 HILL-23 DR","48507","GENESEE","8","5177909930","SUSAN ARRAND","DIRECTOR"
"260558","BARBIZON SCHOOL OF MICHIGAN","WEST BLOOMFIELD","MI","26","3","","","","9","3","3","2","1","","3","1","1","6230 ORCHARD LAKE RD","48322","OAKLAND","17","3136543122","CHARLES R NEMES","PRES"
"260567","BATAVIA SCHOOL OF DRAFTING","CLARKSTON","MI","26","3","","","","9","3","3","2","1","","3","1","1","9253 THORNHILL DRIVE","48348","MACOMB","14","3133916161","DANIEL J ZINK","OWNER"
"260585","CHIC UNIVERSITY OF COSMETOLOGY","KALAMAZOO","MI","26","3","","","","9","3","3","2","2","","3","1","1","103 WEST MAIN MALL","49009","KALAMAZOO","3","6163451300","ROSALIND M. STUTZ","ADMINISTRATOR"
"260628","CONLIN HALLISSEY TRAVEL SCHOOL INC","ANN ARBOR","MI","26","3","","","","9","3","3","2","1","","3","1","1","3270 WASHTENAW AVE.","48104","","2","3136771562","JILL GERLINGER","ADMIN"
"260655","D'ETRE UNIVERSITY","GROSSE POINTE","MI","26","3","","","","2","1","2","3","7","","1","1","1","377 FISHER RD","48230","","13","3138825522","DAVID W FRIEDRICHS","PRESIDENT"
"260664","DIESEL DRIVING ACADEMY","SHREVEPORT","LA","22","5","","","","9","3","3","2","1","","3","1","1","P.O. BOX 36949","71133","CADDO","4","3186366300","PHILIP JOHNSON JR","PRES"
"260682","SARGENT'S REAL ESTATE SCHOOL","FORT SMITH","AR","5","5","","","","9","3","3","2","1","","3","1","3","2720 JENNY LIND","71901","GARLAND","","5017821236","RAY SARGENT","ADMINISTRATOR"
"260691","PIMA MEDICAL INSTITUTE","TEMPE","AZ","4","6","","","","6","2","3","2","4","","2","1","1","2300 EAST BROADWAY ROAD","85282","MARICOPA","1","6023457777","RICHARD LUEBKE SR","PRESIDENT"
"260707","ARIZONA INSTITUTE OF REAL ESTATE","FLAGSTAFF","AZ","4","6","","","","9","3","3","2","1","","3","1","1","2310 N 4TH STREET","86004","COCONINO","3","6025266091","WARREN L. HENRY","PRESIDENT"
"260716","AVTECH INSTITUTE","PACOIMA","CA","6","8","","","","9","3","3","2","2","","3","1","1","13545 VAN NUYS BLVD","91331","LOS ANGELES","7","8188962272","WILLIAM M PAUL",""
"260725","GOLDEN STATE SCHOOL","ANAHEIM","CA","6","8","","","","9","3","3","2","1","","3","1","1","1661 N RAYMOND AVE #110","92801","ORANGE","38","7146800102","FLETCHER BLACKSTOCK","DIRECTOR"
"260761","GOLDEN STATE SCHOOL","SANTA MARIA","CA","6","8","","","","9","3","3","2","1","","3","1","1","402 FARNEL ROAD","93454","SANTA BARBARA","19","8059220454","MARC W. MARCKWARDT","DIRECTOR"
"260789","PLATT COLLEGE - LOS ANGELES","LOS ANGELES","CA","6","8","","","","9","3","3","2","2","","3","1","1","7470 N FIGUEROA ST","90041","LA","25","2132588050","WM LOCKWOOD","PRESIDENT"
"260798","PLATT COLLEGE - ONTARIO","ONTARIO","CA","6","8","","","","9","3","3","2","1","","3","1","1","2920 INLAND EMPIRE BLVD #102","91764","SAN BERNADINO","36","7149891187","JAN EDWIN HARTZ","PRESIDENT"
"260804","PLATT COLLEGE - IRVINE","IRVINE","CA","6","8","","","","9","3","3","2","2","","3","1","1","2361 MCGAW AVENUE","92714","ORANGE","38","7148332300","WM LOCKWOOD","PRESIDENT"
"260813","PLATT COLLEGE","AURORA","CO","8","7","","","","6","2","3","2","3","","2","1","1","3100 S PARKER RD","80014","AURORA","6","3033695151","JERALD B SIRBU","DIRECTOR"
"260831","JOHN CASABLANCAS","HARTFORD","CT","9","1","","","","9","3","3","2","1","","3","1","1","461 FARMINGTON AVE","06105","HARTFORD","1","2032324421","TINA CHIONCHIO","DIRECTOR"
"260840","PTC CAREER INSTITUTE","WASHINGTON","DC","11","2","","","","9","3","3","2","1","","3","1","1","529 14TH ST NW STE 350","20004","","","2026385300","ESTHER M REID","DIRECTOR"
"260886","ROFFLER TECHNICAL INSTITUTE","PINELLAS PARK","FL","12","5","","","","9","3","3","2","2","","3","1","1","4122-4126 PARK BLVD","34665","PINELLAS","8","8135412600","DWAYNE ADAMS","GENERAL MANAGER"
"260895","ROFFLER TECHNICAL INSTITUTE","WINTER PARK","FL","12","5","","","","9","3","3","2","2","","3","1","1","5433 LAKE HOWELL RD","32792","SEMINOLE","5","4076570700","DWAYNE ADAMS GENERAL","MANAGER"
"260901","AMERICAN INSTITUTE OF COMMERCE","DAVENPORT","IA","19","4","","","","6","2","3","2","3","","2","1","1","1801 EAST KIMBERLY RD","52807","SCOTT","1","3193553500","JOHN HUSTON","PRESIDENT"
"260910","AMERICAN INSTITUTE OF COMMERCE","CEDAR FALLS","IA","19","4","","","","9","3","3","2","2","","3","1","1","2302 W 1ST ST","50613","BLACK HAWK","2","3192770220","JOHN HUSTON","PRESIDENT"
"260929","NEW IMAGES ACADEMY OF BEAUTY","BOISE","ID","16","7","","","","9","3","3","2","2","","3","1","1","2757 BROADWAY","83706","ADA","2","2083360190","DODI RUCHTI","DIRECTOR"
"260947","CHRISTIAN LIFE COLLEGE","MT PROSPECT","IL","17","3","","","","2","1","2","6","5","","1","3","1","400 E GREGORY ST","60056","","","3122591840","DARYL MERRILL","PRESIDENT"
"260956","KNOWLEDGE SYSTEMS INSTITUTE","SKOKIE","IL","17","3","26227","","","2","1","2","3","7","","1","1","1","3420 MAIN ST","60076","COOK","10","7086793135","JUDY CHANG","EXEC DIR"
"260965","COLLEGE OF COSMETOLOGY","ROCKFORD","IL","17","3","","","","9","3","3","2","1","","3","1","1","128 SOUTH FIFTH STREET","61104","WINNEBAGO","16","4146494340","MELVIN B RASKIN","PRES"
"260974","ITT TECHNICAL INSTITUTE-HOFFMAN ESTATES","HOFFMAN ESTATES","IL","17","3","907329","","","6","2","3","2","3","","2","1","1","375 W. HIGGINS ROAD","60195","COOK","12","7085199300","KENNETH BUTLER","DIRECTOR"
"260992","NORTHWESTERN BUSINESS COLLEGE-SOUTHWESTERN CAMPUS","PALOS HILLS","IL","17","3","","","","6","2","3","2","4","","2","1","1","10059 S ROBERTS ROAD","60465","COOK","13","3127774220","LAWRENCE SCHUMACHER","PRESIDENT"
"261001","ROFFLER HAIR DESIGN COLLEGE","OVERLAND PK","KS","20","4","","","","9","3","3","2","2","","3","1","1","7943 SANTA FE DR","66204","JOHNSON","3","9133815522","RANDY RUSHING","DIRECTOR"
"261010","ST LUKE HOSPITAL SCHOOL OF PRACTICAL NURSING","FLORENCE","KY","21","5","","","","8","3","2","3","2","","3","1","1","7380 TURFWAY RD","41042","BOONE","4","6065255376","WENDY WILSON-WESLOW","DIRECTOR"
"261029","JOCELYN DASPIT BEAUTY COLLEGES INC","METAIRIE","LA","22","5","","","","9","3","3","2","1","","3","1","1","3204 INDEPENDENCE ST","70006","JEFFERSON","1","5048888983","JOHN DASPIT","PRESIDENT"
"261065","EASTERN BIBLE INSTITUTE","SALISBURY","MD","24","2","","","","8","3","2","6","1","","3","1","1","309 W COLLEGE AVE","21801","WICOMICO","1","3017491820","JIM COOPER","DIRECTOR"
"261083","LONG & FOSTER INSTITUTE OF REAL ESTATE","GERMANTOWN","MD","24","2","","","","9","3","3","2","1","","3","1","1","20030 CENTURY BLVD STE 304","20874","MONT","7","3014287680","LEE BUSBY","DIRECTOR"
"261092","GREMPLER REAL ESTATE INSTITUTE","TOWSON","MD","24","2","","","","9","3","3","2","1","","3","1","1","400 E JOPPA RD","21204","BALTIMORE","2","3018256400","MARY BELL GREMPLER","PRESIDENT"
"261108","LEWIS & SILVERMAN REAL ESTATE CAREER CENTER","BETHESDA","MD","24","2","","","","9","3","3","2","1","","3","1","1","6701 DEMOCRACY BOULEVARD SUITE 401","20817","MONTGOMERY","8","3014934566","BARBARA TUMA","DIRECTOR"
"261135","MARECO REAL ESTATE SCHOOL","BALTO","MD","24","2","","","","9","3","3","2","1","","3","3","1","602 W CONWAY ST","21230","BALTO","","3013320707","STEPHEN KAUFFMAN","DIRECTOR"
"261144","NATIONAL EDUCATION CENTER, TEMPLE SCHOOL","BALTIMORE","MD","24","2","","","","9","3","3","2","2","","3","1","3","3601 O'DONNELL ST","21224","BALTIMORE","3","3016756000","ARTHUR NELSON","DIRECTOR"
"261153","NATIONAL RE INSTITUTE INC","BALTIMORE","MD","24","2","","","","9","3","3","2","1","","3","1","1","1003 KENT AVE","21228","BALTIMORE","7","3017445995","J F RODGERS","PRESIDENT"
"261162","NYMAN ACADEMY OF REAL ESTATE","CAMP SPRINGS","MD","24","2","","","","9","3","3","2","1","","3","1","1","5823 ALLENTOWN WAY","20748","PRINCE GEORGES","5","3014493315","BARRINGTON BUTTS","DIRECTOR"
"261171","PROGRESSIVE BARBER SCHOOL","BALTIMORE","MD","24","2","","","","9","3","3","2","2","","3","1","1","8146 FT SMALLWOOD RD","21226","BALTIMORE","3","3014370441","WILLIAM F MCCLELLAND","MANAGER/OWNER"
"261180","RICHARDS TRAVEL CAREER INSTITUTE INC","HAGERSTOWN","MD","24","2","","","","9","3","3","2","1","","3","1","1","1201 POTOMAC AVE","21740","WASHINGTON","6","3017911010","A B RICHARDS JR","PRESIDENT"
"261199","ROBERTS INSTITUTE OF HAIR DESIGN OF BROOKLYN","BALTIMORE","MD","24","2","","","","9","3","3","2","2","","3","1","1","3550 S HANOVER ST","21225","BALTIMORE CITY","4","3014444808","RON/VON THOMAS","VICE PRES"
"261205","STARR INSTITUTE OF REAL ESTATE","PASADENA","MD","24","2","","","","9","3","3","2","1","","3","1","1","8031 RITCHIE HWY","21122","ANNE ARUNDEL","4","3017688500","GEORGE R KOPF","DIRECTOR"
"261214","THE COLUMBIA ACADEMY OF REAL ESTATE INC","COLUMBIA","MD","24","2","","","","9","3","3","2","1","","3","1","1","6111 DRY LEAF PATH","21044","HOWARD","3","3019642860","LINDA H HAMM","OWNER/DIRECTOR"
"261241","TRAVEL LEARNING CENTER","ROCKVILLE","MD","24","2","","","","9","3","3","2","1","","3","1","1","1700 EAST GUDE DR","20850","MONTGOMERY","8","3014242444","WENDY MEIL","PRESIDENT"
"261250","WASHINGTON SCHOOL OF PHOTOGRAPHY","BETHESDA","MD","24","2","","","","9","3","3","2","1","","3","1","1","4940 ST ELMO AVE","20814","MONTGOMERY","8","3016541998","PETER IVERSON","DIRECTOR"
"261278","COLQUITT-CARRUTHERS INC TRAINING CENTER","GAITHERSBURG","MD","24","2","","","","8","3","2","3","1","","3","1","1","501 N FREDERICK AVE","20877","MONTGOMERY","8","3019484811","STEVEN G. SNOW","DIRECTOR"
"261296","THE GORDON INSTITUTE","WAKEFIELD","MA","25","1","","","","2","1","2","3","7","","1","1","1","9 AUDUBON RD","01880","MIDDLESEX","7","6172464750","JEROME E LEVY","DEAN"
"261302","AUTOMATION ACADEMY","BALTIMORE","MD","24","2","","","","9","3","3","2","1","","3","1","1","17 S CHARLES ST","21201","","3","3017273020","GERALD NEWMAN","PRESIDENT"
"261339","ROFFLER HAIR DESIGN COLLEGE","CANTON","OH","39","3","","","","9","3","3","2","2","","3","1","1","1440 WHIPPLE AVE.","44708","STARK","16","2164776695","FRANKLIN D FERREN","DIRECTOR"
"261393","TULSA CO AREA VOC TECH SCH DIST 18 (SOUTHEAST CAM)","BROKEN ARROW","OK","40","6","","","","4","2","1","1","4","","2","3","1","4600 SOUTH OLIVE","740111706","","","9184551588","JOE LEMLEY","SUPERINTENDENT"
"261418","FAULKNER UNIVERSITY-MOBILE","MOBILE","AL","1","5","901003","","","5","2","2","6","3","","2","1","3","1050 GOVERNMENT ST","36604","MOBILE","","2054339527","BARRY ENGLAND","PROVOST"
"261436","DOUGLAS J ACADEMY OF COSMETOLOGY","LANSING","MI","26","3","","","","9","3","3","2","2","","3","1","1","1425 KEYSTONE DR","48911","LANSING","6","5173932100","DOUGLAS J WEAVER","ADMINISTRATOR"
"261454","IBA COLLEGE OF COSMETOLOGY","MILWAUKEE","WI","55","3","","","","9","3","3","2","2","","3","1","1","6627 WEST CAPITOL DRIVE","53216","MILWAUKEE","5","4146494340","MELVIN B RASKIN","PRESIDENT"
"261472","ITT TECHNICAL INSTITUTE","TROY","MI","26","3","","","","6","2","3","2","4","","2","1","1","1225 E BIG BEAVER RD","48083","","14","3135241800","ROBERT MARTIN","DIRECTOR"
"261490","LEHMANN COLLEGE OF BEAUTY","PLYMOUTH","MI","26","3","","","","9","3","3","2","2","","3","1","1","673 S MAIN","48170","WAYNE","2","3134591611","JOHN L LEHMANN","PRES/TREAS"
"261515","METROPOLITAN DETROIT YOUTH FOUNDATION BUS ACADEMY","DETROIT","MI","26","3","","","","8","3","2","3","1","","3","1","1","11000 W MCNICOLS STE 222","48221","WAYNE","1","3138639394","DENNIS L GIBSON JR","EXEC DIRECTORE"
"261588","OMEGA STUDIOS SCHOOL OF APPL RECORDING SCI","ROCKVILLE","MD","24","2","","","","9","3","3","2","1","","3","1","1","5609 FISHERS LN","20852","MONTGOMERY","8","3012309100","W ROBERT YESBEK",""
"261597","PERSONAL PALETTE ACADEMY OF IMAGE & COLOR","HOLLAND","MI","26","3","","","","9","3","3","2","1","","3","1","3","29 W 8TH ST SUITE 220","49423","","9","6163967226","LYNNE WATLING","DIR"
"261603","PROFESSIONAL FLORIST INSTITUTE","DETROIT","MI","26","3","","","","9","3","3","2","1","","3","3","3","15305 SCHOOLCRAFT","48227","","1","3132738590","WESLEY L BERRY JR","DIR"
"261612","PSI INSTITUTE OF MICH INC","SOUTHFIELD","MI","26","3","","","","9","3","3","2","1","","3","1","1","17000 W 8 MILE RD STE LL-11","48075","","17","3135579055","PAUL AGOSTA","DIRECTOR"
"261658","ROSS MEDICAL EDUCATION CENTER","DETROIT","MI","26","3","","","","9","3","3","2","2","","3","1","1","14110 TELEGRAPH","48239","","1","3135322101","CHRIS OSSENMACHER","PRESIDENT"
"261667","ROSS MEDICAL EDUCATION CENTER","DETROIT","MI","26","3","","","","9","3","3","2","1","","3","1","1","15670 E 8 MILE RD","48205","WAYNE","1","3133712131","CHRIS OSSENMACHER","PRESIDENT"
"261676","ROSS TECHNICAL INSTITUTE","BRIGHTON","MI","26","3","","","","9","3","3","2","2","","3","1","1","5757 WHITMORE LAKE ROAD, SUITE 800","48116","OAKLAND","17","3139683244","CHRIS OSSENMACHER","PRESIDENT"
"261685","ROSS TECHNICAL INSTITUTE","ANN ARBOR","MI","26","3","","","","9","3","3","2","2","","3","1","1","4703 WASHLENAW","481081411","WASHLENAW","2","3134347320","C OSSENMACHER","PRESIDENT"
"261700","S J WILLIAMS SCHOOL OF RELIGION","DETROIT","MI","26","3","","","","5","2","2","7","4","","2","1","1","3917 MCCLELLAN","48214","WAYNE","13","3139247544","SAMUEL J WILLIAMS","DIRECTOR"
"261719","TAYLORTOWN SCHOOL OF BEAUTY","TAYLOR","MI","26","3","","","","9","3","3","2","2","","3","1","1","23015 ECORSE RD","48180","WAYNE","15","3132912177","CYNTHIA STRAMECKY","PRESIDENT"
"261728","TRAVERSE CITY BOARD OF REALTORS SCH OF REAL ESTATE","TRAVERSE CITY","MI","26","3","","","","9","3","3","2","1","","3","3","3","852 S GARFIELD","49684","","9","6169472050","JUDITH LINDENAU",""
"261737","U S BROKERS INSTITUTE INC","GRAND RAPIDS","MI","26","3","","","","9","3","3","2","1","","3","1","1","300 EAST BELTLINE NE","49506","KENT","5","6169426660","MICHAEL DAVIS","PRESIDENT"
"261746","U S SCUBA INSTRUCTOR DEVELOPMENT CENTER","ROCHESTER","MI","26","3","","","","9","3","3","2","1","","3","1","1","3260 S ROCHESTER RD","48063","OAKLAND","18","3138532800","HEATHER SELLICK PHD","DIRECTOR"
"261755","WAYNE STARR SCHOOL OF COSMETOLOGY, INC","DAVISON","MI","26","3","","","","9","3","3","2","2","","3","1","1","8429 DAVISON RD","48423","GENESEE","7","3136539600","G DANIELS-STARR","PRES/WS VP"
"261773","PIKE/LINCOLN TECH CENTER","EOLIA","MO","29","4","","","","7","3","1","1","2","","2","1","1","BOX 38","63344","PIKE","","3144852900","MAC GREEN","SUPERINTENDENT"
"261791","DELTA TECHNICAL INSTITUTE INC","CLEVELAND","MS","28","5","","","","9","3","3","2","2","","3","1","1","323 CENTRAL AVE","38732","BOLIVAR","2","6018436063","ORESTES C CARMICLE","PRESIDENT"
"261807","SKYLAND ACADEMY OF COSMETIC ARTS","SKYLAND","NC","37","5","","","","9","3","3","2","2","","3","1","1","PO BOX 848,170 ROSSCRAGGON ROAD","28776","BUNCOMBE","","7046871643","LUCI RATHIFF","PRESIDENT"
"261816","JOSEPHS COLLEGE OF BEAUTY","GRAND ISLAND","NE","31","4","","","","9","3","3","2","2","","3","1","1","2250 N WEBB RD","68803","HALL","3","4024675388","BRUCE B NIMS","CEO"
"261834","TOLEDO TRAVEL SCHOOL","TOLEDO","OH","39","3","","","","9","3","3","2","1","","3","1","1","2034 S BYRNE RD","43614","LUCAS","9","4193853161","LINDA PARKER, CTC","DIRECTOR"
"261843","ACRT INC ENVIRONMENTAL SPECIALIST","KENT","OH","39","3","","","","9","3","3","2","1","","3","1","3","227 NORTH DEPEYESTER STREET","44240","PORTAGE KENT","11","2166738272","RICHARD E ABBOTT",""
"261852","DE MARGE COLLEGE","OKLA","OK","40","6","","","","7","3","1","1","1","","2","1","1","3608 NW 58","73112","OKLAHOMA","5","4059471425","DEE HOSHALL","PRES/CEO"
"261861","WEST VIRGINIA CAREER INSTITUTE","LEMONT FURNACE","PA","42","2","","","","9","3","3","2","2","","3","1","1","200 COLLEGE DR","15456","FAYETTE","","4124374600","TRICIA GURSKY","DIRECTOR"
"261870","CHRIS LOGAN CAREER COLLEGE","ROCK HILL","SC","45","5","","","","9","3","3","2","2","","3","1","1","1930 N. CHERRY RD.","29732","YORK","4","8033281838","PAT PINER","DIRECTOR"
"261889","CHRIS LOGAN CAREER COLLEGE","NORTH AUGUSTA","SC","45","5","","","","9","3","3","2","2","","3","1","1","MARTINTOWN PLAZA","29841","AIKEN","5","8037752667","CHRIS LOGAN","OWNER"
"261898","CHATTANOOGA BARBER COLLEGE","CHATTANOOGA","TN","47","5","","","","9","3","3","2","1","","3","1","1","409 MARKET ST","37402","HAMILTON","3","6152667013","JUDY E GRIGGS","OWNER"
"261913","CHENIER","HOUSTON","TX","48","6","","","","9","3","3","2","1","","3","1","1","6300 RICHMOND, SUITE 300","77057","HARRIS","2","7137844490","B E CHURCHWELL","PRESIDENT"
"261931","ECPI COMPUTER INSTITUTE ROANOKE CENTER","ROANOKE","VA","51","5","910198","","","6","2","3","2","3","","2","1","1","1030 JEFFERSON ST SE","24016","ROANOKE","6","7033420043","ALFRED DREYFUS","PRES"
"261940","WOODRIDGE BUSINESS INSTITUTE","WOODBRIDGE","VA","51","5","","","","9","3","3","2","2","","3","1","1","14573-H JEFF DAVIS HWY","22191","PRINCE WILLIAM","","7034913715","PATTI LEETON","DIRECTOR"
"261959","IBA COLLEGE OF COSMETOLOGY","MILWAUKEE","WI","55","3","","","","9","3","3","2","2","","3","1","1","3165 S 27TH STREET","53215","MILWAUKEE","","4146494340","JOHN GRAY","CONTROLLER"
"261995","TAI TRAVEL ACADEMY","SPRINGFIELD","MO","29","4","","","","9","3","3","2","1","","3","1","1","1923 S GLENSTONE","65804","GREENE","7","4178828114","DORIS THORNTON","ADMIN"
"262004","THE SALTER SCHOOL (BRANCH)","NEW BRITAIN","CT","9","1","","","","9","3","3","2","2","","3","1","1","ONE GROVE STREET","6053","","6","2032248838","JOHN F ALBANO","PRES & CEO"
"262013","NEW YORK INSTITUTE OF TECHNOLOGY-CENTRAL ISLIP","CENTRAL ISLIP","NY","36","2","904804","","","2","1","2","3","7","","1","1","1","211 CARLETON AVENUE","117224501","SUFFOLK","2","5166867516","MATTHEW SCHURE","PRESIDENT"
"262031","ST CHARLES COUNTY COMMUNITY COLLEGE","ST PETERS","MO","29","4","25306","","","4","2","1","1","4","","2","1","1","4601 MID RIVERS MALL DRIVE","63376","ST CHARLES","2","3147231220","DONALD D SHOOK","PRESIDENT"
"262040","MTA TRUCK DRIVING SCHOOL","S CHARLESTON","OH","39","3","","","","9","3","3","2","1","","3","1","1","15 SPRAGUE ROAD","45368","","7","5134628791","GLEN RAYMOND","DIRECTOR"
"262068","SUNY-SPECIAL F UNIT","ALBANY","NY","36","2","902834","","","0","0","0","","","","1","1","1","STATE UNIVERSITY PLAZA","12246","","","","",""
"262086","CHAPMAN UNIVERSITY ACADEMIC CENTERS","ORANGE","CA","6","8","901164","","","2","1","2","6","7","","1","3","1","333 N GLASSELL","92666","ORANGE","","7149976815","JAMES L DOTI","PRESIDENT"
"262095","TRINITY SCHOOL OF BIBLICAL STUDIES","LAKE WORTH","FL","12","5","","","","2","1","2","6","5","","1","1","1","7255 S TRL MILITARY","33463","PALM BEACH","","4079654166","TOMMY C PETERS","PRESIDENT"
"262101","INTERNATIONAL COLLEGE OF THE CAYMAN ISLANDS","MIAMI","FL","12","5","","","","2","1","2","3","7","","1","1","1","PO BOX 3578","33159","DADE","","8099471100","ELSA CUMMINGS","PRESIDENT"
"262110","BAPTIST FELLOWSHIP BIBLE COLLEGE OF TAMPA","TAMPA","FL","12","5","","","","2","1","2","6","5","","1","1","3","505 E PALM AVE","33602","HILLSBOROUGH","6","8132297276","GEORGE W SADLER JR","PRESIDENT"
"262138","SOUTHERN NEW ENGLAND SCHOOL OF LAW","NEW BEDFORD","MA","25","1","","","","2","1","2","3","","1","1","1","1","874 PURCHASE STREET","027406232","NEW BEDFORD","10","5089990040","PHILIP E CLEARY","DEAN"
"262156","DAVENPORT COLLEGE CAREER CENTER","GRAND RAPIDS","MI","26","3","","","","8","3","2","3","1","","3","1","1","3030 EASTERN SE","49508","KENT","5","6162453030","NANCY BOESE","EX DIR"
"262165","MONTANA BIBLE COLLEGE","BOZEMAN","MT","30","7","","","","2","1","2","6","5","","1","1","1","PO BOX 6070","59771","GALLATIN","","4065863585","RAY PIERSON","ACTING PRES"
"262174","NYU MEDICAL CENTER-ALLIED HEALTH EDUCATION","NEW YORK","NY","36","2","","","","2","1","2","3","5","","1","3","3","550 FIRST AVE","10016","","","2122636644","DOUGLAS RAYNOR","DIRECTOR"
"262183","GRADUATE SCHOOL OF POLITICAL MANAGEMENT","NEW YORK","NY","36","2","25157","","","2","1","2","3","7","","1","1","1","17 LEXINGTON AVE","10010","NEW YORK","6","2123871500","NEIL FABRICANT","PRES"
"262192","MID-AMERICA BAPTIST THEOLOGICAL SEMINARY","SCHENECTADY","NY","36","2","","","","2","1","2","6","7","1","1","1","1","2810 CURRY RD EXT/NORTHEAST BRANCH","12303","","23","5183772282","HOWARD B BICKERS JR","DIRECTOR"
"262208","ALASKA COMPUTER INSTITUTE","FAIRBANKS","AK","2","8","","","","9","3","3","2","2","","3","1","1","520 FIFTH AVE SUITE 100","99701","FAIRBANKS","","9074527661","R. THOMPSON","DIRECTOR"
"262235","ARIZONA ACADEMY OF BEAUTY","TUCSON","AZ","4","6","","","","9","3","3","2","1","","3","1","1","4046 N ORACLE","85705","PIMA","","6028880170","STEWART WHITE","ADMINISTRATOR"
"262253","ARIZONA COMPUTER INSTITUTE","YUMA","AZ","4","6","","","","9","3","3","2","2","","3","1","1","200 W. 24TH ST","85364","YUMA","2","6027827300","GEORGE M. BASS","DIRECTOR"
"262280","CHARLES OF ITALY BEAUTY COLLEGE","BULLHEAD CITY","AZ","4","6","","","","9","3","3","2","2","","3","1","1","2350 MIRACLE MILE RD STE 354","86442","MOHAVE","2","6027636666","CHARLES BARTOLOMEO","OWNER"
"262299","COLLEGE OF BEAUTY ARTS AND SCIENCES","PRESCOTT","AZ","4","6","","","","9","3","3","2","2","","3","1","1","410 WEST GOODWIN","86303","YAUAPAI","","6027785064","LARRY BULECHEK","OWNER"
"262305","DENVER BUSINESS COLLEGE","MESA","AZ","4","6","","","","6","2","3","2","3","","2","1","1","1550 S ALMA SCHOOL  SUITE 100","85210","MARICOPA","","6028341000","JUDY SHAVER","DIRECTOR"
"262314","DWYER'S SIMPLIFIED COURT REPORTING CENTER","TEMPE","AZ","4","6","","","","6","2","3","2","4","","2","1","1","209 WEST SOUTHERN AVE","85282","MARICOPA","","6029684658","ROBERTA LEE DWYER","PRESIDENT"
"262332","SCOTTSDALE CULINARY INSTITUTE","SCOTTSDALE","AZ","4","6","","","","6","2","3","2","4","","2","1","1","8100 E. CAMELBACK RD.","85251","MARICOPA","","6029903773","ELIZABETH LEITE","DIRECTOR"
"262341","CONSERVATORY OF RECORDING ARTS & SCIENCES","PHOENIX","AZ","4","6","","","","9","3","3","2","1","","3","1","1","1110 E MISSOURI #400","85014","MARICOPA","","6024939898","JACQUELINE F VLCAN","CHIEF ADM."
"262369","ADRIAN'S BEAUTY COLLEGE OF TURLOCK","TURLOCK","CA","6","8","","","","9","3","3","2","2","","3","1","1","2253 GEER RD","95380","STANISLAUS","15","2096322233","ADRIAN COCHRAN","PRESIDENT"
"262402","CALIFORNIA CAREER SCHOOLS","ANAHEIM","CA","6","8","","","","9","3","3","2","1","","3","1","1","392 W. CERRITOS AVE.","92805","ORANGE","","7146356585","RANDY TAYLOR","ADMINISTRATOR"
"262411","DOOTSON SCHOOL OF TRUCKING","ARCADIA","CA","6","8","","","","9","3","3","2","1","","3","1","1","11625 CLARK ST","91006","LOS ANGELES","","8183031900","RICHARD DOOTSON","PRESIDENT"
"262439","GOLDEN STATE SCHOOL","OXNARD","CA","6","8","","","","9","3","3","2","2","","3","1","1","1690 UNIVERSE CIRCLE","93033","VENTURA","19","8054877911","LARRY OWENS","OWNER"
"262448","MTI COLLEGE","ORANGE","CA","6","8","","","","6","2","3","2","3","","2","1","1","2011 W CHAPMAN AVE, SUITE 100","92668","ORANGE","","7143851132","MR TON BUI","PRESIDENT"
"262457","SAN JOAQUIN VALLEY COLLEGE","FRESNO","CA","6","8","","","","9","3","3","2","1","","3","1","1","3333 NORTH BOND","93726","FRESNO","","2092297800","ROBERT PERRY","PRESIDENT"
"262466","ROLF INSTITUTE OF STRUCTURAL INTEGRATION","BOULDER","CO","8","7","","","","8","3","2","3","1","","3","1","3","302 PEARL ST","80302","BOULDER","","3034495903","SUSAN F MELCHIOR","SCH DIR"
"262475","THE TRAVEL TRADE SCHOOL OF BOULDER","BOULDER","CO","8","7","","","","9","3","3","2","1","","3","1","1","5353 MANHATTAN CIRCLE","80303","BOULDER","","3034992442","VICKI L. SCHROEDER","DIRECTOR"
"262484","THE TRAVEL TRADE SCHOOL INC","LITTLETON","CO","8","7","","","","9","3","3","2","1","","3","1","1","7921 SOUTHPARK PLAZA, SUITE 105","80120","ARAPAHOE","","3037951825","CAROLYN PATTON","DIRECTOR"
